model,params,auc
NSCV,results/cogsnet-linear-72-0.5-0.2-0.0017857142857142854-3600-sum.csv,0.9050052052349792
NSCV,results/cogsnet-linear-72-0.5-0.2-0.0017857142857142854-3600-avg.csv,0.9385722784057109
CNSCV,results/cogsnet-linear-72-0.5-0.2-0.0017857142857142854-3600-sum.csv,0.9038920285544318
CNSCV,results/cogsnet-linear-72-0.5-0.2-0.0017857142857142854-3600-avg.csv,0.9383863771564545
NSCTV,results/cogsnet-linear-72-0.5-0.2-0.0017857142857142854-3600-sum.csv,0.9264128494943487
NSCTV,results/cogsnet-linear-72-0.5-0.2-0.0017857142857142854-3600-avg.csv,0.903341760856633
CNSCTV,results/cogsnet-linear-72-0.5-0.2-0.0017857142857142854-3600-sum.csv,0.9258045806067817
CNSCTV,results/cogsnet-linear-72-0.5-0.2-0.0017857142857142854-3600-avg.csv,0.906542236763831
CNSTV,results/cogsnet-linear-72-0.5-0.2-0.0017857142857142854-3600-sum.csv,0.9130086258179655
CNS,results/cogsnet-linear-72-0.5-0.2-0.0017857142857142854-3600-weights.csv,0.9407079119571683
CN,,0.9372791493158834
NSTV,,0.9081380130874479
